Date : 2022-06-01 00:07:48
Directory : c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src
Total : 76 files,  8547 codes, 538 comments, 965 blanks, all 10050 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| UserActions\actions\ViewFilesPart\ViewApplication                                                                                            |          2 |        642 |          0 |         69 |        711 |
| UserActions\actions\ViewFilesPart\ViewCfdtagreement                                                                                          |          2 |        149 |          0 |         24 |        173 |
| UserActions\actions\ViewFilesPart\ViewContract                                                                                               |          2 |        138 |          0 |         23 |        161 |
| UserActions\actions\ViewFilesPart\ViewEntrust                                                                                                |          2 |        264 |          0 |          6 |        270 |
| UserActions\actions\ViewFilesPart\ViewEntrustList                                                                                            |          2 |        147 |          0 |          9 |        156 |
| UserActions\actions\ViewFilesPart\ViewFunction                                                                                               |          2 |        123 |          0 |          7 |        130 |
| UserActions\actions\ViewFilesPart\ViewQuotation                                                                                              |          2 |        146 |          0 |         17 |        163 |
| UserActions\actions\ViewFilesPart\ViewSignature                                                                                              |          2 |        101 |          0 |         37 |        138 |
| UserActions\actions\ViewFilesPart\ViewUserFiles                                                                                              |          1 |         52 |          0 |          5 |         57 |
| UserActions\functions                                                                                                                        |          1 |        114 |          2 |          5 |        121 |
| register_login                                                                                                                               |         14 |        829 |        162 |         78 |      1,069 |
| register_login\components                                                                                                                    |          2 |        142 |          8 |         10 |        160 |
| register_login\layouts                                                                                                                       |          1 |         17 |          4 |          3 |         24 |
| register_login\pages                                                                                                                         |          7 |        465 |        101 |         46 |        612 |
| register_login\pages\css                                                                                                                     |          1 |         36 |          1 |          3 |         40 |
| register_login\utils                                                                                                                         |          2 |        109 |         49 |         13 |        171 |
| routers                                                                                                                                      |          1 |         20 |          6 |          2 |         28 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\All.js                                                                                 | JavaScript |         35 |          2 |          2 |         39 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\App.test.js                                                                            | JavaScript |          5 |          0 |          3 |          8 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\Home.css                                                                               | CSS        |        156 |         13 |         30 |        199 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\Home.js                                                                                | JavaScript |        285 |          0 |         28 |        313 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyA.css | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyA.js  | JavaScript |        169 |          3 |         30 |        202 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyB.css | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyB.js  | JavaScript |        157 |          0 |         30 |        187 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\ClientApplication.js                      | JavaScript |        149 |          0 |         14 |        163 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\TrusteeApplication.js                     | JavaScript |        149 |          0 |         15 |        164 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\CheckTA.js                              | JavaScript |        166 |          0 |         25 |        191 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\TestAgreement.css                       | CSS        |          5 |          0 |          0 |          5 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\TestAgreement.js                        | JavaScript |        182 |          1 |         30 |        213 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.js                        | JavaScript |        178 |          3 |         12 |        193 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.md                        | Markdown   |          5 |          0 |          1 |          6 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept1.js                       | JavaScript |        169 |          3 |         15 |        187 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept2.js                       | JavaScript |        131 |          3 |         15 |        149 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdpt.css                        | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\QuotationFeedback\QuotationFeedback.js              | JavaScript |        192 |          3 |          9 |        204 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\Quotation\Quotation.js                              | JavaScript |        249 |          3 |         23 |        275 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.css             | CSS        |         31 |          0 |          1 |         32 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.js              | JavaScript |        859 |         11 |         92 |        962 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.md              | Markdown   |         12 |          0 |          3 |         15 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.css             | CSS        |         31 |          0 |          1 |         32 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.js              | JavaScript |        283 |          3 |         25 |        311 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadFiles\UserUploadFiles.js                  | JavaScript |        184 |          3 |         10 |        197 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\CheckList\CheckList.js                                    | JavaScript |         19 |        153 |         10 |        182 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\QuestionList\QuestionList.js                              | JavaScript |        260 |        151 |         25 |        436 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\QuestionList\QuestionList.md                              | Markdown   |          6 |          0 |          0 |          6 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCase\TestCase.css                                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCase\TestCase.js                                      | JavaScript |        111 |          0 |         18 |        129 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCheckList\TestCheckList.js                            | JavaScript |        425 |          5 |         28 |        458 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestPlan\TestPlan.css                                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestPlan\TestPlan.js                                      | JavaScript |        290 |          0 |         57 |        347 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.css                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.js                                  | JavaScript |        167 |          0 |         25 |        192 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.css                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.js                                  | JavaScript |        698 |          0 |         95 |        793 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.css                  | CSS        |         32 |          0 |          1 |         33 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.js                   | JavaScript |        610 |          0 |         68 |        678 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.css              | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.js               | JavaScript |        148 |          0 |         24 |        172 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.css                        | CSS        |          5 |          0 |          0 |          5 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.js                         | JavaScript |        133 |          0 |         23 |        156 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.css                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.js                   | JavaScript |        146 |          0 |          9 |        155 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.css                          | CSS        |         31 |          0 |          0 |         31 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.js                           | JavaScript |        233 |          0 |          6 |        239 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.css                        | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.js                         | JavaScript |        122 |          0 |          7 |        129 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.css                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.js                       | JavaScript |        145 |          0 |         17 |        162 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewSignature\ViewSignature.css                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewSignature\ViewSignature.js                       | JavaScript |        100 |          0 |         37 |        137 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewUserFiles\ViewUserFiles.js                       | JavaScript |         52 |          0 |          5 |         57 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functions.js                                                     | JavaScript |        114 |          2 |          5 |        121 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\index.css                                                                              | CSS        |         12 |          0 |          2 |         14 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\index.js                                                                               | JavaScript |         19 |          4 |          3 |         26 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\logo.svg                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\Menu_1.js                                                               | JavaScript |         49 |          0 |          1 |         50 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\View.js                                                                 | JavaScript |         47 |          0 |          5 |         52 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\components\FormItem.js                                                  | JavaScript |         26 |          2 |          3 |         31 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\components\UserEditor.js                                                | JavaScript |        116 |          6 |          7 |        129 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\layouts\HomeLayout.js                                                   | JavaScript |         17 |          4 |          3 |         24 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\Login.js                                                          | JavaScript |        136 |         29 |         13 |        178 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\Register.js                                                       | JavaScript |        127 |          2 |          9 |        138 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserAdd.js                                                        | JavaScript |         13 |          5 |          2 |         20 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserEdit.js                                                       | JavaScript |         36 |         16 |          5 |         57 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserInfo.js                                                       | JavaScript |         40 |         11 |          4 |         55 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserList.js                                                       | JavaScript |         77 |         37 |         10 |        124 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\css\register.css                                                  | CSS        |         36 |          1 |          3 |         40 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\utils\formProvider.js                                                   | JavaScript |         77 |         39 |         10 |        126 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\utils\request.js                                                        | JavaScript |         32 |         10 |          3 |         45 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\reportWebVitals.js                                                                     | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\routers\privateRouters.js                                                              | JavaScript |         20 |          6 |          2 |         28 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\setupTests.js                                                                          | JavaScript |         14 |          4 |          1 |         19 |
| Total                                                                                                                                        |            |      8,547 |        538 |        965 |     10,050 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
